RELATIVE_TIME_SEC,YIELD,DATE
0,0.0,2020-05-15
4,0.0,2020-05-15
8,0.0,2020-05-15
12,0.0,2020-05-15
16,0.0,2020-05-15
20,0.0,2020-05-15
24,0.0,2020-05-15
28,0.0,2020-05-15
32,0.0,2020-05-15
36,0.0,2020-05-15
40,0.0,2020-05-15
44,0.0,2020-05-15
48,0.0,2020-05-15
52,0.0,2020-05-15
56,0.0,2020-05-15
60,0.0,2020-05-15
64,0.0,2020-05-15
68,0.0,2020-05-15
72,0.0,2020-05-15
76,0.0,2020-05-15
80,0.0,2020-05-15
84,0.0,2020-05-15
88,0.0,2020-05-15
92,0.0,2020-05-15
96,15.090606060606056,2020-05-15
100,26.68997835497835,2020-05-15
104,58.37298701298701,2020-05-15
108,156.85896103896104,2020-05-15
112,306.05696969696965,2020-05-15
116,380.89272727272714,2020-05-15
120,459.5151082251083,2020-05-15
124,547.8287012987013,2020-05-15
128,562.7075108225108,2020-05-15
132,639.6036363636364,2020-05-15
136,729.6824242424243,2020-05-15
140,808.0512987012986,2020-05-15
144,849.878787878788,2020-05-15
148,917.9660822510822,2020-05-15
152,908.9721212121214,2020-05-15
156,866.3256493506492,2020-05-15
160,844.123658008658,2020-05-15
164,793.8751515151515,2020-05-15
168,821.5454545454545,2020-05-15
172,849.2807575757575,2020-05-15
176,817.1743939393941,2020-05-15
180,807.1525108225109,2020-05-15
184,818.6209090909091,2020-05-15
188,775.4409090909091,2020-05-15
192,771.320541125541,2020-05-15
196,818.5784415584417,2020-05-15
200,802.8022077922077,2020-05-15
204,799.3784848484847,2020-05-15
208,810.8242424242427,2020-05-15
212,807.6702597402596,2020-05-15
216,849.3676190476191,2020-05-15
220,806.6508441558442,2020-05-15
224,829.2242424242424,2020-05-15
228,853.3781818181816,2020-05-15
232,773.6151731601731,2020-05-15
236,830.5656493506493,2020-05-15
240,912.6236147186148,2020-05-15
244,869.692424242424,2020-05-15
248,638.2866666666667,2020-05-15
252,720.7140909090909,2020-05-15
256,644.8457142857143,2020-05-15
260,473.0917532467533,2020-05-15
264,423.1878787878788,2020-05-15
268,442.44545454545454,2020-05-15
272,290.4206493506494,2020-05-15
276,194.05679653679653,2020-05-15
280,95.04757575757576,2020-05-15
284,38.53515151515152,2020-05-15
288,24.783636363636365,2020-05-15
292,15.18082251082251,2020-05-15
296,2.351450216450216,2020-05-15
300,0.0,2020-05-15
304,0.0,2020-05-15
308,0.0,2020-05-15
312,0.0,2020-05-15
316,0.0,2020-05-15
320,0.0,2020-05-15
324,0.0,2020-05-15
328,0.0,2020-05-15
332,0.0,2020-05-15
336,0.0,2020-05-15
340,0.0,2020-05-15
344,0.0,2020-05-15
348,0.0,2020-05-15
352,0.0,2020-05-15
356,0.0,2020-05-15
360,0.0,2020-05-15
364,0.0,2020-05-15
368,0.0,2020-05-15
372,0.0,2020-05-15
376,0.0,2020-05-15
380,0.0,2020-05-16
384,0.0,2020-05-16
388,0.0,2020-05-16
392,0.0,2020-05-16
396,0.0,2020-05-16
400,0.0,2020-05-16
404,0.0,2020-05-16
408,0.0,2020-05-16
412,0.0,2020-05-16
416,0.0,2020-05-16
420,0.0,2020-05-16
424,0.0,2020-05-16
428,0.0,2020-05-16
432,0.0,2020-05-16
436,0.0,2020-05-16
440,0.0,2020-05-16
444,0.0,2020-05-16
448,0.0,2020-05-16
452,0.0,2020-05-16
456,0.0,2020-05-16
460,0.0,2020-05-16
464,0.0,2020-05-16
468,0.0,2020-05-16
472,0.0,2020-05-16
476,14.252619047619048,2020-05-16
480,46.947272727272725,2020-05-16
484,86.0021645021645,2020-05-16
488,126.8439393939394,2020-05-16
492,168.2261471861472,2020-05-16
496,251.68742424242427,2020-05-16
500,388.9672727272727,2020-05-16
504,385.2907575757574,2020-05-16
508,543.521515151515,2020-05-16
512,622.6311904761905,2020-05-16
516,705.1878571428571,2020-05-16
520,751.4684848484849,2020-05-16
524,847.4117748917746,2020-05-16
528,907.4729437229436,2020-05-16
532,963.4012121212122,2020-05-16
536,960.5802380952383,2020-05-16
540,810.0984848484848,2020-05-16
544,846.2631601731601,2020-05-16
548,754.38158008658,2020-05-16
552,774.6305194805194,2020-05-16
556,798.6749350649351,2020-05-16
560,808.3179437229436,2020-05-16
564,831.4600000000002,2020-05-16
568,794.7768614718615,2020-05-16
572,732.7194155844157,2020-05-16
576,620.9154112554113,2020-05-16
580,724.8827922077921,2020-05-16
584,502.5983766233766,2020-05-16
588,743.878658008658,2020-05-16
592,752.2504112554113,2020-05-16
596,814.9494155844154,2020-05-16
600,479.3366233766233,2020-05-16
604,635.3081818181818,2020-05-16
608,859.7726839826839,2020-05-16
612,866.1474458874458,2020-05-16
616,626.7599350649351,2020-05-16
620,632.3506277056277,2020-05-16
624,443.91848484848475,2020-05-16
628,572.7090043290044,2020-05-16
632,457.9732251082251,2020-05-16
636,329.3930952380952,2020-05-16
640,318.4176623376623,2020-05-16
644,165.3730303030303,2020-05-16
648,99.8977922077922,2020-05-16
652,127.95192640692639,2020-05-16
656,44.97361471861472,2020-05-16
660,15.9569696969697,2020-05-16
664,7.730606060606059,2020-05-16
668,0.7855844155844154,2020-05-16
672,0.0,2020-05-16
676,0.0,2020-05-16
680,0.0,2020-05-16
684,0.0,2020-05-16
688,0.0,2020-05-16
692,0.0,2020-05-16
696,0.0,2020-05-16
700,0.0,2020-05-16
704,0.0,2020-05-16
708,0.0,2020-05-16
712,0.0,2020-05-16
716,0.0,2020-05-16
720,0.0,2020-05-16
724,0.0,2020-05-16
728,0.0,2020-05-16
732,0.0,2020-05-16
736,0.0,2020-05-16
740,0.0,2020-05-16
744,0.0,2020-05-16
748,0.0,2020-05-16
752,0.0,2020-05-16
756,0.0,2020-05-16
760,0.0,2020-05-16
764,0.0,2020-05-17
768,0.0,2020-05-17
772,0.0,2020-05-17
